1, 0.220980, -0.216745, 0.437725
2, 0.148716, -0.285643, 0.434358
3, 0.136757, -0.251984, 0.388741
4, 0.134647, -0.263079, 0.397726
5, 0.019439, -0.285786, 0.305225
6, -0.013441, -0.272893, 0.259452
7, -0.068501, -0.299569, 0.231067
8, -0.076760, -0.258153, 0.181392
9, -0.122687, -0.315614, 0.192928
10, -0.118048, -0.278302, 0.160253
11, -0.131164, -0.275285, 0.144121
12, -0.184483, -0.305382, 0.120899
13, -0.150419, -0.255012, 0.104593
14, -0.222130, -0.324483, 0.102353
15, -0.208806, -0.300837, 0.092031
16, -0.167065, -0.241377, 0.074311
17, -0.220688, -0.304613, 0.083926
18, -0.233223, -0.293664, 0.060441
19, -0.177424, -0.252004, 0.074580
20, -0.232699, -0.302260, 0.069561
21, -0.228712, -0.307562, 0.078850
22, -0.206159, -0.272405, 0.066246
23, -0.248262, -0.318014, 0.069752
24, -0.208405, -0.263489, 0.055083
25, -0.234172, -0.295233, 0.061061
26, -0.262185, -0.323420, 0.061235
27, -0.211441, -0.267883, 0.056442
28, -0.235567, -0.294254, 0.058687
29, -0.291473, -0.348523, 0.057050
30, -0.299864, -0.353798, 0.053933
31, -0.272888, -0.325904, 0.053016
32, -0.197184, -0.240904, 0.043720
33, -0.277381, -0.330622, 0.053241
34, -0.234851, -0.286203, 0.051352
35, -0.253707, -0.302286, 0.048579
36, -0.305496, -0.353089, 0.047593
37, -0.271496, -0.318665, 0.047169
38, -0.261422, -0.308875, 0.047453
39, -0.269837, -0.309694, 0.039856
40, -0.231557, -0.272414, 0.040857
41, -0.255697, -0.294106, 0.038410
42, -0.241113, -0.279085, 0.037972
43, -0.270606, -0.312434, 0.041828
44, -0.245072, -0.281659, 0.036586
45, -0.244961, -0.278344, 0.033384
46, -0.229566, -0.265659, 0.036093
47, -0.253247, -0.288282, 0.035036
48, -0.267002, -0.301647, 0.034645
49, -0.266786, -0.299930, 0.033143
50, -0.291227, -0.326076, 0.034849
51, -0.329678, -0.366698, 0.037020
52, -0.275521, -0.311116, 0.035595
53, -0.291191, -0.325076, 0.033885
54, -0.212241, -0.244925, 0.032683
55, -0.286075, -0.318997, 0.032922
56, -0.281969, -0.317206, 0.035237
57, -0.258929, -0.292605, 0.033677
58, -0.252663, -0.283981, 0.031318
59, -0.333271, -0.367575, 0.034305
60, -0.295821, -0.327928, 0.032107
61, -0.299881, -0.329350, 0.029469
62, -0.298048, -0.329019, 0.030972
63, -0.275615, -0.306216, 0.030602
64, -0.289562, -0.317075, 0.027513
65, -0.279189, -0.308244, 0.029055
66, -0.290007, -0.317662, 0.027655
67, -0.304189, -0.332772, 0.028583
68, -0.279950, -0.306934, 0.026984
69, -0.259707, -0.286731, 0.027024
70, -0.244434, -0.270355, 0.025921
71, -0.289494, -0.319806, 0.030312
72, -0.265803, -0.298605, 0.032803
73, -0.269686, -0.297723, 0.028037
74, -0.275170, -0.305102, 0.029932
75, -0.319757, -0.348689, 0.028932
76, -0.323321, -0.355361, 0.032041
77, -0.295909, -0.324250, 0.028341
78, -0.232434, -0.256190, 0.023756
79, -0.308070, -0.335104, 0.027033
80, -0.292911, -0.318662, 0.025751
81, -0.216265, -0.238484, 0.022219
82, -0.287726, -0.314687, 0.026960
83, -0.256162, -0.278716, 0.022554
84, -0.297190, -0.324564, 0.027374
85, -0.272112, -0.298179, 0.026067
86, -0.300764, -0.327521, 0.026757
87, -0.292965, -0.324144, 0.031179
88, -0.251312, -0.274934, 0.023623
89, -0.291360, -0.320528, 0.029168
90, -0.243820, -0.268167, 0.024347
91, -0.327966, -0.360653, 0.032687
92, -0.316163, -0.350313, 0.034150
93, -0.289557, -0.319703, 0.030146
94, -0.295348, -0.323574, 0.028226
95, -0.254336, -0.285379, 0.031043
96, -0.275848, -0.306352, 0.030504
97, -0.320335, -0.355706, 0.035372
98, -0.315679, -0.351786, 0.036107
99, -0.307656, -0.337416, 0.029760
100, -0.307200, -0.339551, 0.032350
101, -0.318817, -0.348301, 0.029483
102, -0.305873, -0.335711, 0.029838
103, -0.296342, -0.326400, 0.030058
104, -0.271213, -0.295074, 0.023861
105, -0.264999, -0.286843, 0.021844
106, -0.315719, -0.352744, 0.037024
107, -0.300149, -0.329575, 0.029425
108, -0.313507, -0.342508, 0.029001
109, -0.292087, -0.333228, 0.041140
110, -0.270790, -0.301366, 0.030576
111, -0.285045, -0.319936, 0.034890
112, -0.269427, -0.305923, 0.036496
113, -0.289438, -0.328054, 0.038615
114, -0.316836, -0.359581, 0.042745
115, -0.244665, -0.281752, 0.037087
116, -0.313779, -0.363046, 0.049267
117, -0.287633, -0.333159, 0.045525
118, -0.309268, -0.347925, 0.038657
119, -0.304864, -0.349470, 0.044605
120, -0.326960, -0.371837, 0.044877
121, -0.279284, -0.313871, 0.034587
122, -0.327077, -0.375258, 0.048181
123, -0.311737, -0.352832, 0.041095
124, -0.318805, -0.355165, 0.036361
125, -0.281214, -0.314608, 0.033394
126, -0.263815, -0.288815, 0.025000
127, -0.287850, -0.320937, 0.033087
128, -0.259377, -0.284134, 0.024757
129, -0.223741, -0.247876, 0.024136
130, -0.293463, -0.323478, 0.030015
131, -0.293998, -0.321327, 0.027329
132, -0.246058, -0.263705, 0.017648
133, -0.241255, -0.262134, 0.020880
134, -0.284947, -0.310050, 0.025103
135, -0.306628, -0.338799, 0.032171
136, -0.288509, -0.323023, 0.034514
137, -0.308603, -0.338055, 0.029453
138, -0.301718, -0.335282, 0.033564
139, -0.309615, -0.341808, 0.032193
140, -0.273177, -0.307913, 0.034736
141, -0.300645, -0.327682, 0.027037
142, -0.271725, -0.296037, 0.024312
143, -0.296675, -0.326302, 0.029627
144, -0.303953, -0.328312, 0.024359
145, -0.313609, -0.347608, 0.033999
146, -0.324856, -0.362213, 0.037356
147, -0.305145, -0.337968, 0.032823
148, -0.278873, -0.306327, 0.027454
149, -0.274419, -0.297835, 0.023416
150, -0.303068, -0.337187, 0.034119
151, -0.277254, -0.299064, 0.021810
152, -0.291214, -0.319932, 0.028718
153, -0.186992, -0.313443, 0.126450
154, -0.265618, -0.293193, 0.027575
155, -0.309258, -0.343127, 0.033870
156, -0.271866, -0.289552, 0.017686
157, -0.313970, -0.345901, 0.031931
158, -0.285249, -0.312413, 0.027163
159, -0.302457, -0.325779, 0.023322
160, -0.277160, -0.300622, 0.023462
161, -0.303317, -0.345199, 0.041882
162, -0.277746, -0.314785, 0.037039
163, -0.340731, -0.383217, 0.042485
164, -0.322047, -0.358377, 0.036330
165, -0.252524, -0.283405, 0.030881
166, -0.242963, -0.268379, 0.025416
167, -0.280326, -0.307748, 0.027421
168, -0.288717, -0.315558, 0.026841
169, -0.282796, -0.309691, 0.026895
170, -0.307860, -0.344036, 0.036176
171, -0.306662, -0.335418, 0.028756
172, -0.303965, -0.335704, 0.031739
173, -0.264711, -0.294081, 0.029370
174, -0.319307, -0.357389, 0.038082
175, -0.279372, -0.301868, 0.022496
176, -0.317401, -0.347318, 0.029917
177, -0.303337, -0.336107, 0.032770
178, -0.278168, -0.293605, 0.015436
179, -0.306140, -0.332985, 0.026845
180, -0.296076, -0.320676, 0.024600
181, -0.310951, -0.335333, 0.024381
182, -0.313511, -0.338288, 0.024777
183, -0.300486, -0.335506, 0.035020
184, -0.300151, -0.320780, 0.020630
185, -0.325124, -0.351290, 0.026166
186, -0.327680, -0.363956, 0.036276
187, -0.291179, -0.337084, 0.045905
188, -0.274263, -0.308422, 0.034158
189, -0.300365, -0.346325, 0.045960
190, -0.249468, -0.289422, 0.039954
191, -0.321263, -0.390298, 0.069036
192, -0.283763, -0.337766, 0.054003
193, -0.280195, -0.335029, 0.054834
194, -0.296217, -0.348625, 0.052409
195, -0.231771, -0.275210, 0.043439
196, -0.287524, -0.345146, 0.057622
197, -0.274705, -0.317846, 0.043141
198, -0.308962, -0.359471, 0.050509
199, -0.268880, -0.308608, 0.039729
